,id,rating,director,theater_date,box_office,studio,genre
1063,1373,NR,Don McBrearty,1987,20900803,Universal Pictures,Drama
1064,1374,NR,Desiree Akhavan,2018,20900803,FilmRise,Drama
1065,1375,PG,Jack Lemmon,1971,20900803,Universal Pictures,Classics
1066,1376,PG-13,Peter Billingsley,2009,109176215,Universal Pictures,Comedy
1067,1377,NR,Howard Hawks,1965,20900803,Universal Pictures,Action and Adventure
1068,1378,PG,Diane Keaton,1995,20900803,Universal Pictures,Comedy
1069,1379,PG,Steven Spielberg,1987,20900803,Universal Pictures,Action and Adventure
1070,1380,NR,Michael Haneke,1994,20900803,Universal Pictures,Art House and International
1071,1381,R,Judd Apatow,2007,148734225,Universal,Comedy
1072,1382,R,Albert Band,1981,20900803,Universal Pictures,Horror
1073,1383,PG,Walt Becker,2015,66580191,20th Century Fox,Animation
1074,1385,NR,Bud Yorkin,1967,20900803,Universal Pictures,Classics
1075,1386,G,Roman Polanski,1967,20900803,Universal Pictures,Art House and International
1076,1387,R,Shawn Christensen,2018,20900803,Universal Pictures,Drama
1077,1388,NR,Steven Spielberg,1953,20900803,Universal Pictures,Classics
1078,1389,PG-13,Ron Shelton,2017,20900803,Broad Green Pictures,Action and Adventure
1079,1390,R,Kevin Dowling|Geoff Burton,1995,20900803,Universal Pictures,Art House and International
1080,1391,G,Irving Lerner,1958,20900803,Universal Pictures,Drama
1081,1392,PG-13,Steven Spielberg,1997,20900803,Universal Pictures,Comedy
1082,1393,R,Fred Olen Ray,1987,20900803,Universal Pictures,Drama
1083,1394,R,Steven Spielberg,2008,6515869,Paramount Classics,Comedy
1084,1395,NR,Steven Spielberg,1987,20900803,Universal Pictures,Drama
1085,1396,PG-13,Prince,1990,20900803,WARNER BROTHERS PICTURES,Drama
1086,1397,NR,Stephen Poliakoff,1987,20900803,Universal Pictures,Action and Adventure
1087,1398,PG,David Nixon|Patrick Doughtie,2010,1121000,Vivendi Entertainment,Drama
1088,1399,R,Trey Edward Shults,2017,13985117,A24,Drama
1089,1400,R,Andy Wolk,1992,20900803,Universal Pictures,Drama
1090,1402,PG,Roger Vadim,1968,20900803,Universal Pictures,Action and Adventure
1091,1403,NR,Cory McAbee,2001,20900803,Artistic License Films,Action and Adventure
